,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon
59,2022-05-21 19:04, (North Hills 91343),2 Bedroom in North Hills ~ Ceiling Fan ~ A/C ~ Pool ~ One Month Free!,2,1100.0,https://losangeles.craigslist.org/sfv/apa/d/north-hills-bedroom-in-north-hills/7484203572.html,"2,250","[None, None]"
60,2022-05-21 19:04, (Burbank 91501),Laminate Hardwood Floors Throughout | Balcony | 2+2 in Burbank,2,1200.0,https://losangeles.craigslist.org/sfv/apa/d/burbank-laminate-hardwood-floors/7482478255.html,"2,890","[None, None]"
61,2022-05-21 19:04, (North Hills),"Hardwood Floors, Large Closets, 2+2 in Beautiful North Hills",2,825.0,https://losangeles.craigslist.org/sfv/apa/d/los-angeles-hardwood-floors-large/7483758115.html,"1,995","[None, None]"
62,2022-05-21 19:04, (Northridge Adjacent/Reseda),Studio in Reseda - Pool - Large Closets - Ceiling Fan - Won't Last!,,460.0,https://losangeles.craigslist.org/sfv/apa/d/reseda-studio-in-reseda-pool-large/7486749937.html,"1,600","[None, None]"
63,2022-05-21 19:03, (Van Nuys/Lake Balboa ADJ),Studio in Van Nuys | Walk in Closet | A/C | SS Appliances | Remodeled,,500.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-studio-in-van-nuys-walk-in/7482296312.html,"1,575","[None, None]"
64,2022-05-21 19:03," (Woodland Hills, CA)",***Completely Upgraded House & Guest House***,3,1377.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-completely-upgraded/7486744193.html,"1,200","[None, None]"
65,2022-05-21 19:03, (Northridge/Near CSUN),Jr 1 Bedroom in Northridge + SS Appliances + A/C + Wood Style Floors,1,600.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-jr-bedroom-in-northridge-ss/7485295662.html,"1,725","[None, None]"
66,2022-05-21 19:03, (Sherman Oaks Adjacent),"Ceiling Fan, Swimming Pool, BBQ Area, 3 Bedroom 3 BA in Studio City",3,1700.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-ceiling-fan-swimming-pool/7486749842.html,"3,595","[None, None]"
67,2022-05-21 19:02, (North Hollywood),"2 Bedroom in North Hollywood, Granite, Vinyl Plank Floors",2,950.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-bedroom-in-north/7485363043.html,"2,050","[None, None]"
68,2022-05-21 19:01, (South of Ventura Boulevard),"Spacious Unit, Wood Inspired Floors, Amazing 1+Den in Sherman Oaks",1,975.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-spacious-unit-wood/7486749424.html,"2,395","[None, None]"
69,2022-05-21 18:59, (san fernando valley),Studio with Character,,525.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-studio-with-character/7477477599.html,"1,838","[None, None]"
70,2022-05-21 18:57," (18414 W. Jakes Way, Canyon Country, CA)","Individual Washers & Dryers, Picnic Areas, Breakfast Bar",2,860.0,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-individual-washers/7483404908.html,"2,420","[None, None]"
71,2022-05-21 18:56, (Reseda),"Brand New 2 BED in Reseda || BBQ/Picnic Area, Washer/Dryer in Unit",2,1000.0,https://losangeles.craigslist.org/sfv/apa/d/reseda-brand-new-bed-in-reseda-bbq/7486748413.html,"3,395","[None, None]"
72,2022-05-21 18:52," (4500 Woodman Ave, Sherman Oaks, CA)","Cable Ready, Close to Schools, Tennis Court",,419.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-cable-ready-close-to/7485884881.html,"2,075","[None, None]"
73,2022-05-21 18:51," (27303 N. Sara St., Canyon Country, CA)","Professional Management Staff, Large Walk-In Closets, Picnic Tables",1,628.0,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-professional-management/7479988072.html,"1,892","[None, None]"
74,2022-05-21 18:50, (Socal),Completely remodeled 3bd property,3,1104.0,https://losangeles.craigslist.org/sfv/apa/d/compton-completely-remodeled-3bd/7475763209.html,"1,799","[None, None]"
75,2022-05-21 18:49," (21041 Parthenia Street, Los Angeles, CA)","Elevator, Clubhouse, Off Street Parking",2,945.0,https://losangeles.craigslist.org/sfv/apa/d/canoga-park-elevator-clubhouse-off/7477554654.html,"2,445","[None, None]"
76,2022-05-21 18:45, (Valley Village),"Valley Village/NoHo 2 Bedroom 2 Bath, Controlled Access, Pool, Gym",2,1100.0,https://losangeles.craigslist.org/sfv/apa/d/valley-village-valley-village-noho/7486746260.html,"2,495","[None, None]"
77,2022-05-21 18:45, (Canoga Park/Warner Center),"Air Conditioning, 1+1 in Canoga Park, Pool Lounge Area, Pet-Friendly",1,700.0,https://losangeles.craigslist.org/sfv/apa/d/canoga-park-air-conditioning-11-in/7486746236.html,"1,750","[None, None]"
78,2022-05-21 18:43, (san fernando valley),"Easy access to the 405 Freeway, Built-in linen closet, 9-foot ceilings",1,792.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-easy-access-to-the-405/7485746977.html,"2,343","[None, None]"
79,2022-05-21 18:43, (North Hollywood),"Studio in Newer Community in North Hollywood, Polished Concrete Floors",,600.0,https://losangeles.craigslist.org/sfv/apa/d/toluca-lake-studio-in-newer-community/7486745773.html,"2,525","[None, None]"
80,2022-05-21 18:42, (PACOIMA),"FULLY RENOVATED HOME,SS APPLS,CENTRAL AC,QUARTZ COUNTER,WASHER DRYER",3,1156.0,https://losangeles.craigslist.org/sfv/apa/d/pacoima-fully-renovated-homess/7485903031.html,"3,395","[None, None]"
81,2022-05-21 18:41, (TUJUNGA),"CHARMING HOME, WITH GUESTHOUSE, WASHER DRYER, WOOD FLR, CENTRAL AC,",3,1400.0,https://losangeles.craigslist.org/sfv/apa/d/tujunga-charming-home-with-guesthouse/7485909300.html,"3,295","[None, None]"
82,2022-05-21 18:41, (NORTH HOLLYWOOD),"HOUSE FOR LEASE, WASHER DRYER, WD FLR, CENTRAL AC, SS APPLS, FRIDGE",4,,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-house-for-lease-washer/7485901418.html,"3,900","[None, None]"
83,2022-05-21 18:41, (GLENDALE),"*************GORGEOUS HOUSE, NEW BUILT, CENTRAL AC, WASHER DRYER *****",3,1200.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-gorgeous-house-new-built/7485901319.html,"3,695","[None, None]"
